metric,Logistic Regression
accuracy,0.7466467958271237
precision,0.898876404494382
recall,0.5128205128205128
f1,0.6530612244897959
baseline_conversion_at,46.497764530551414
true_neg,341.0
false_pos,18.0
false_neg,152.0
true_pos,160.0
precision_at_10%,1.0
lift_at_10%,2.1506410256410255
precision_at_20%,0.9477611940298507
lift_at_20%,2.0382941063911213
precision_at_30%,0.8756218905472637
lift_at_30%,1.883148360760301
precision_at_40%,0.8395522388059702
lift_at_40%,1.805575487944891
precision_at_50%,0.7611940298507462
lift_at_50%,1.6370551090700343
